# NAME	LINKTYPE	VALUETYPE	FACTOR	min	max
PotatoesPrice	market	nnP	1	0	231
WinterWheat_yield_	market	nnY	1	0	8
WinterWheat_yield_f90p	market	nnY	1	0	7.916118545
WinterWheat_yield_f80p	market	nnY	1	0	7.681875405
WinterWheat_yield_f70p	market	nnY	1	0	7.387334761
WinterWheat_yield_f60p	market	nnY	1	0	7.032496613
WinterRye_yield_	market	nnY	1	0	6
WinterRye_yield_f90p	market	nnY	1	0	5.831349893
WinterRye_yield_f80p	market	nnY	1	0	5.684232422
WinterRye_yield_f70p	market	nnY	1	0	5.488429595
WinterRye_yield_f60p	market	nnY	1	0	5.243941412
SummerCere_yield_	market	nnY	1	0	6
SummerCere_yield_f90p	market	nnY	1	0	5.831349893
SummerCere_yield_f80p	market	nnY	1	0	5.684232422
SummerCere_yield_f70p	market	nnY	1	0	5.488429595
SummerCere_yield_f60p	market	nnY	1	0	5.243941412
WinterRape_yield_	market	nnY	1	0	3.5
WinterRape_yield_f90p	market	nnY	1	0	3.441523455
WinterRape_yield_f80p	market	nnY	1	0	3.319379496
WinterRape_yield_f70p	market	nnY	1	0	3.181559995
WinterRape_yield_f60p	market	nnY	1	0	3.028064954
SummerPeas_yield_	market	nnY	1	0	3.5
SummerPeas_yield_f90p	market	nnY	1	0	3.484895967
SummerPeas_yield_f80p	market	nnY	1	0	3.420875309
SummerPeas_yield_f70p	market	nnY	1	0	3.327405041
SummerPeas_yield_f60p	market	nnY	1	0	3.204485165
SugarBeet_yield_	market	nnY	1	0	60
SugarBeet_yield_f90p	market	nnY	1	0	59.12928889
SugarBeet_yield_f80p	market	nnY	1	0	58.56145282
SugarBeet_yield_f70p	market	nnY	1	0	57.750671
SugarBeet_yield_f60p	market	nnY	1	0	56.69694341
WinterBarley_yield_	market	nnY	1	0	7
WinterBarley_yield_f90p	market	nnY	1	0	6.803241542
WinterBarley_yield_f80p	market	nnY	1	0	6.631604493
WinterBarley_yield_f70p	market	nnY	1	0	6.403167861
WinterBarley_yield_f60p	market	nnY	1	0	6.117931648
SummerTriticale_yield_	market	nnY	1	0	6
SummerTriticale_yield_f90p	market	nnY	1	0	5.831349893
SummerTriticale_yield_f80p	market	nnY	1	0	5.684232422
SummerTriticale_yield_f70p	market	nnY	1	0	5.488429595
SummerTriticale_yield_f60p	market	nnY	1	0	5.243941412
MaizCorn_yield_	market	nnY	1	0	9.8
MaizCorn_yield_f90p	market	nnY	1	0	9.815919653
MaizCorn_yield_f80p	market	nnY	1	0	9.703569416
MaizCorn_yield_f70p	market	nnY	1	0	9.529087943
MaizCorn_yield_f60p	market	nnY	1	0	9.292475235
SummerBeans_yield_	market	nnY	1	0	4
SummerBeans_yield_f90p	market	nnY	1	0	3.982738248
SummerBeans_yield_f80p	market	nnY	1	0	3.909571781
SummerBeans_yield_f70p	market	nnY	1	0	3.802748618
SummerBeans_yield_f60p	market	nnY	1	0	3.66226876
Potatoes_yield_	market	nnY	1	0	45
Potatoes_yield_f90p	market	nnY	1	0	42.54817567
Potatoes_yield_f80p	market	nnY	1	0	41.31723125
Potatoes_yield_f70p	market	nnY	1	0	40.03762104
Potatoes_yield_f60p	market	nnY	1	0	38.70934504
arab_total_	land	Arable_Land	1	0	350
arab_DefaultZone_	reference	arablenormal	1	0	350
arab_RedZone_	reference	arableredzone	1	0	349.57
AWU	reference	familylabour	1	0	3600
Liquidity	reference	liquidity	1	-29973	2999993
interestRate	reference	ec_interest	1	0	0.07
